P,Census Region,State,Interconnect,Country,cap_reg_mult,source
p64,WSC,TX,texas,usa,0.961863,ReEDS
p65,WSC,TX,texas,usa,0.965669,ReEDS
p65,WSC,TX,texas,usa,0.964226,ReEDS
p65,WSC,TX,texas,usa,0.952334,ReEDS
p67,WSC,TX,texas,usa,0.93946,ReEDS
p68,WNC,MN,eastern,usa,1.06365,ReEDS
p69,WNC,IA,eastern,usa,1.04555,ReEDS
p70,WNC,IA,eastern,usa,1.04255,ReEDS
p70,WNC,IA,eastern,usa,1.042,ReEDS
p70,WNC,IA,eastern,usa,1.04125,ReEDS
p70,WNC,IA,eastern,usa,1.04386,ReEDS
p70,WNC,IA,eastern,usa,1.0475,ReEDS
p70,WNC,IA,eastern,usa,1.05379,ReEDS
p71,WNC,MO,eastern,usa,1.03564,ReEDS
p72,WNC,MO,eastern,usa,1.02473,ReEDS
p73,WNC,MO,eastern,usa,1.01766,ReEDS
p84,WNC,MO,eastern,usa,1.01005,ReEDS
p84,WNC,MO,eastern,usa,0.994336,ReEDS
p72,WNC,MO,eastern,usa,1.0286,ReEDS
p72,WNC,MO,eastern,usa,1.01446,ReEDS
p74,ENC,MI,eastern,usa,1.02075,ReEDS
p75,ENC,WI,eastern,usa,1.01371,ReEDS
p76,ENC,WI,eastern,usa,1.01813,ReEDS
p77,ENC,WI,eastern,usa,1.04606,ReEDS
p78,ENC,WI,eastern,usa,1.05043,ReEDS
p76,ENC,WI,eastern,usa,0.990968,ReEDS
p75,ENC,WI,eastern,usa,0.986374,ReEDS
p79,ENC,WI,eastern,usa,1.04746,ReEDS
p80,ENC,IL,eastern,usa,1.06309,ReEDS
p81,ENC,IL,eastern,usa,1.05697,ReEDS
p81,ENC,IL,eastern,usa,1.03471,ReEDS
p81,ENC,IL,eastern,usa,1.0375,ReEDS
p82,ENC,IL,eastern,usa,1.04403,ReEDS
p81,ENC,IL,eastern,usa,1.02798,ReEDS
p81,ENC,IL,eastern,usa,1.01222,ReEDS
p80,ENC,IL,eastern,usa,1.10841,ReEDS
p80,ENC,IL,eastern,usa,1.07356,ReEDS
p83,ENC,IL,eastern,usa,1.03814,ReEDS
p83,ENC,IL,eastern,usa,1.03466,ReEDS
p83,ENC,IL,eastern,usa,1.0132,ReEDS
p103,ENC,MI,eastern,usa,1.02753,ReEDS
p103,ENC,MI,eastern,usa,1.00542,ReEDS
p104,ENC,MI,eastern,usa,1.0318,ReEDS
p103,ENC,MI,eastern,usa,1.01593,ReEDS
p103,ENC,MI,eastern,usa,1.00886,ReEDS
p103,ENC,MI,eastern,usa,1.02714,ReEDS
p103,ENC,MI,eastern,usa,1.02253,ReEDS
p103,ENC,MI,eastern,usa,1.02648,ReEDS
p105,ENC,IN,eastern,usa,1.09076,ReEDS
p105,ENC,IN,eastern,usa,1.04288,ReEDS
p105,ENC,IN,eastern,usa,1.02727,ReEDS
p105,ENC,IN,eastern,usa,1.00806,ReEDS
p106,ENC,IN,eastern,usa,0.995014,ReEDS
p107,ENC,IN,eastern,usa,0.983833,ReEDS
p105,ENC,IN,eastern,usa,1.02215,ReEDS
p105,ENC,IN,eastern,usa,1.0057,ReEDS
p111,ENC,OH,eastern,usa,1.0164,ReEDS
p112,ENC,OH,eastern,usa,1.00445,ReEDS
p112,ENC,OH,eastern,usa,0.996372,ReEDS
p113,ENC,OH,eastern,usa,0.981465,ReEDS
p114,ENC,OH,eastern,usa,0.969232,ReEDS
p112,ENC,OH,eastern,usa,0.986591,ReEDS
p112,ENC,OH,eastern,usa,1.01293,ReEDS
p111,ENC,OH,eastern,usa,1.0361,ReEDS
p112,ENC,OH,eastern,usa,1.01284,ReEDS
p108,ESC,KY,eastern,usa,0.980646,ReEDS
p109,ESC,KY,eastern,usa,0.967331,ReEDS
p109,ESC,KY,eastern,usa,0.972847,ReEDS
p109,ESC,KY,eastern,usa,0.969884,ReEDS
p109,ESC,KY,eastern,usa,0.966916,ReEDS
p109,ESC,KY,eastern,usa,0.958106,ReEDS
p110,ESC,KY,eastern,usa,0.97491,ReEDS
p118,SA,VA,eastern,usa,0.970422,ReEDS
p118,SA,VA,eastern,usa,0.974469,ReEDS
p118,SA,VA,eastern,usa,0.976825,ReEDS
p117,SA,WV,eastern,usa,0.999383,ReEDS
p117,SA,WV,eastern,usa,0.993915,ReEDS
p117,SA,WV,eastern,usa,0.98998,ReEDS
p116,SA,WV,eastern,usa,1.007,ReEDS
p116,SA,WV,eastern,usa,1.03344,ReEDS
p115,MA,PA,eastern,usa,1.06676,ReEDS
p115,MA,PA,eastern,usa,1.07373,ReEDS
p121,SA,MD,eastern,usa,1.07977,ReEDS
p120,MA,PA,eastern,usa,1.10123,ReEDS
p119,MA,PA,eastern,usa,1.16054,ReEDS
p66,WSC,TX,eastern,usa,0.947806,ReEDS
p85,WSC,AR,eastern,usa,0.974586,ReEDS
p85,WSC,AR,eastern,usa,0.971506,ReEDS
p85,WSC,AR,eastern,usa,0.974719,ReEDS
p86,WSC,LA,eastern,usa,0.964685,ReEDS
p58,WSC,LA,eastern,usa,0.941163,ReEDS
p87,ESC,MS,eastern,usa,0.964006,ReEDS
p88,ESC,MS,eastern,usa,0.961069,ReEDS
p87,ESC,MS,eastern,usa,0.953231,ReEDS
p89,ESC,AL,eastern,usa,0.953961,ReEDS
p89,ESC,AL,eastern,usa,0.952843,ReEDS
p90,ESC,AL,eastern,usa,0.952549,ReEDS
p90,ESC,AL,eastern,usa,0.949557,ReEDS
p91,SA,FL,eastern,usa,0.951669,ReEDS
p91,SA,FL,eastern,usa,0.954812,ReEDS
p91,SA,FL,eastern,usa,0.955167,ReEDS
p94,SA,GA,eastern,usa,0.950157,ReEDS
p94,SA,GA,eastern,usa,0.950445,ReEDS
p94,SA,GA,eastern,usa,0.949686,ReEDS
p94,SA,GA,eastern,usa,0.952357,ReEDS
p92,ESC,TN,eastern,usa,0.97073,ReEDS
p92,ESC,TN,eastern,usa,0.967158,ReEDS
p92,ESC,TN,eastern,usa,0.961639,ReEDS
p92,ESC,TN,eastern,usa,0.955119,ReEDS
p92,ESC,TN,eastern,usa,0.952405,ReEDS
p92,ESC,TN,eastern,usa,0.953164,ReEDS
p92,ESC,TN,eastern,usa,0.948935,ReEDS
p92,ESC,TN,eastern,usa,0.950549,ReEDS
p92,ESC,TN,eastern,usa,0.949974,ReEDS
p92,ESC,TN,eastern,usa,0.956975,ReEDS
p93,ESC,KY,eastern,usa,0.980622,ReEDS
p93,ESC,KY,eastern,usa,0.962961,ReEDS
p97,SA,NC,eastern,usa,0.949391,ReEDS
p97,SA,NC,eastern,usa,0.960996,ReEDS
p97,SA,NC,eastern,usa,0.946504,ReEDS
p98,SA,NC,eastern,usa,0.987614,ReEDS
p98,SA,NC,eastern,usa,0.97239,ReEDS
p98,SA,NC,eastern,usa,1.01928,ReEDS
p98,SA,NC,eastern,usa,1.06349,ReEDS
p95,SA,SC,eastern,usa,0.941318,ReEDS
p96,SA,SC,eastern,usa,0.94709,ReEDS
p96,SA,SC,eastern,usa,0.951449,ReEDS
p96,SA,SC,eastern,usa,0.958246,ReEDS
p96,SA,SC,eastern,usa,0.958495,ReEDS
p99,SA,VA,eastern,usa,1.01414,ReEDS
p100,SA,VA,eastern,usa,1.06538,ReEDS
p99,SA,VA,eastern,usa,1.06922,ReEDS
p99,SA,VA,eastern,usa,1.06463,ReEDS
p99,SA,VA,eastern,usa,1.01449,ReEDS
p99,SA,VA,eastern,usa,1.07222,ReEDS
p99,SA,VA,eastern,usa,1.05723,ReEDS
p99,SA,VA,eastern,usa,1.07349,ReEDS
p116,SA,WV,eastern,usa,1.0765,ReEDS
p101,SA,FL,eastern,usa,0.95849,ReEDS
p101,SA,FL,eastern,usa,0.956904,ReEDS
p101,SA,FL,eastern,usa,0.96441,ReEDS
p101,SA,FL,eastern,usa,0.963283,ReEDS
p102,SA,FL,eastern,usa,0.961436,ReEDS
p124,SA,VA,eastern,usa,1.09897,ReEDS
p123,SA,MD,eastern,usa,1.10173,ReEDS
p123,SA,MD,eastern,usa,1.07732,ReEDS
p123,SA,MD,eastern,usa,1.06434,ReEDS
p125,SA,DE,eastern,usa,1.08453,ReEDS
p125,SA,DE,eastern,usa,1.14319,ReEDS
p122,MA,PA,eastern,usa,1.13064,ReEDS
p122,MA,PA,eastern,usa,1.10427,ReEDS
p122,MA,PA,eastern,usa,1.13099,ReEDS
p122,MA,PA,eastern,usa,1.20179,ReEDS
p122,MA,PA,eastern,usa,1.18969,ReEDS
p122,MA,PA,eastern,usa,1.21895,ReEDS
p122,MA,PA,eastern,usa,1.15327,ReEDS
p122,MA,PA,eastern,usa,1.23084,ReEDS
p126,MA,NJ,eastern,usa,1.30381,ReEDS
p126,MA,NJ,eastern,usa,1.33563,ReEDS
p126,MA,NJ,eastern,usa,1.30512,ReEDS
p126,MA,NJ,eastern,usa,1.22859,ReEDS
p126,MA,NJ,eastern,usa,1.16077,ReEDS
p127,MA,NY,eastern,usa,1.17548,ReEDS
p127,MA,NY,eastern,usa,1.21166,ReEDS
p127,MA,NY,eastern,usa,1.1997,ReEDS
p127,MA,NY,eastern,usa,1.22756,ReEDS
p127,MA,NY,eastern,usa,1.2529,ReEDS
