Orlando,Atlanta,Austin,Phoenix,LA,Charlotte,Nashville,Baltimore,St. Louis,Kansas City,San Francisco,Boston,Salt Lake City,Minneapolis,New York,San Diego,Minneapolis TMY,Boston TMY
23.33333333,22.77777778,27.22222222,38.88888889,28.88888889,22.77777778,23.33333333,25,21.66666667,25,17.77777778,19.4,28.9,21.66666667,22.22222222,21.66666667,23,18
22.77777778,22.77777778,24.44444444,37.77777778,26.66666667,22.22222222,22.77777778,23.88888889,21.11111111,24.44444444,19.44444444,18.3,27.8,21.11111111,20.55555556,21.66666667,22,17
23.33333333,22.77777778,23.88888889,36.11111111,25,22.22222222,22.77777778,22.77777778,20,23.33333333,19.44444444,17.8,27.2,22.22222222,20,22.22222222,21,17
22.22222222,22.22222222,23.33333333,36.11111111,24.44444444,22.77777778,22.77777778,21.11111111,19.44444444,22.77777778,19.44444444,17.2,26.7,21.66666667,18.88888889,22.77777778,21,17
22.77777778,22.22222222,22.77777778,35.55555556,23.88888889,22.22222222,22.22222222,20,18.33333333,21.66666667,20,16.7,26.7,21.11111111,17.77777778,22.77777778,21,17
22.77777778,22.22222222,22.77777778,35,23.88888889,22.77777778,22.22222222,19.44444444,17.77777778,21.11111111,19.44444444,16.7,26.7,20.55555556,17.22222222,22.22222222,20,17
22.77777778,22.22222222,22.77777778,33.33333333,23.33333333,22.77777778,22.22222222,18.88888889,17.22222222,21.11111111,17.77777778,16.7,26.7,20.55555556,16.66666667,21.66666667,20,17
22.77777778,21.66666667,23.33333333,32.77777778,25,22.77777778,22.77777778,18.88888889,18.33333333,20.55555556,21.66666667,17.8,26.7,20,17.77777778,22.22222222,21,18
23.33333333,22.77777778,24.44444444,35.55555556,26.11111111,23.33333333,22.77777778,18.88888889,20.55555556,21.66666667,23.33333333,19.4,27.8,21.11111111,18.88888889,22.22222222,23,20
25,25,25.55555556,36.66666667,27.22222222,23.88888889,23.33333333,20,22.22222222,23.33333333,25,21.1,30.6,22.77777778,20,23.33333333,25,22
