gen type,solar - FRCC,solar - MRO,solar - NPCC,solar - RFC,solar - SERC north,solar - SERC south,solar - SPP,solar - TRE,solar - WECC north,solar - WECC south,solar - WECC west,wind - FRCC,wind - MRO,wind - NPCC,wind - RFC,wind - SERC north,wind - SERC south,wind - SPP,wind - TRE,wind - WECC north,wind - WECC south
7118,3.547701895,3.547701895,3.547701895,3.547701895,3.547701895,3.547701895,3.547701895,3.547701895,3.547701895,3.152394467,3.152394467,0.387774187,0.387774187,0.387774187,0.387774187,0.387774187,0.387774187,0.387774187,0.387774187,0.387774187,0.387774187
7119,3.151903861,3.151903861,3.151903861,3.151903861,3.151903861,3.151903861,3.151903861,3.151903861,3.151903861,3.053137714,3.053137714,0.594432287,0.594432287,0.594432287,0.594432287,0.594432287,0.594432287,0.594432287,0.594432287,0.594432287,0.594432287
7120,1.790744766,1.790744766,1.790744766,1.790744766,1.790744766,1.790744766,1.790744766,1.790744766,1.790744766,2.803010698,2.803010698,0.717498346,0.717498346,0.717498346,0.717498346,0.717498346,0.717498346,0.717498346,0.717498346,0.717498346,0.717498346
7121,0,0,0,0,0,0,0,0,0,1.723097228,1.723097228,0.761616367,0.761616367,0.761616367,0.761616367,0.761616367,0.761616367,0.761616367,0.761616367,0.761616367,0.761616367
7122,0,0,0,0,0,0,0,0,0,0,0,0.840564405,0.840564405,0.840564405,0.840564405,0.840564405,0.840564405,0.840564405,0.840564405,0.840564405,0.840564405
7123,0,0,0,0,0,0,0,0,0,0,0,0.873072421,0.873072421,0.873072421,0.873072421,0.873072421,0.873072421,0.873072421,0.873072421,0.873072421,0.873072421
7124,0,0,0,0,0,0,0,0,0,0,0,0.928800448,0.928800448,0.928800448,0.928800448,0.928800448,0.928800448,0.928800448,0.928800448,0.928800448,0.928800448
7125,0,0,0,0,0,0,0,0,0,0,0,1.000782483,1.000782483,1.000782483,1.000782483,1.000782483,1.000782483,1.000782483,1.000782483,1.000782483,1.000782483
7126,0,0,0,0,0,0,0,0,0,0,0,0.979884472,0.979884472,0.979884472,0.979884472,0.979884472,0.979884472,0.979884472,0.979884472,0.979884472,0.979884472
7127,0,0,0,0,0,0,0,0,0,0,0,0.979884472,0.979884472,0.979884472,0.979884472,0.979884472,0.979884472,0.979884472,0.979884472,0.979884472,0.979884472
7128,0,0,0,0,0,0,0,0,0,0,0,0.965952466,0.965952466,0.965952466,0.965952466,0.965952466,0.965952466,0.965952466,0.965952466,0.965952466,0.965952466
7129,0,0,0,0,0,0,0,0,0,0,0,0.889326429,0.889326429,0.889326429,0.889326429,0.889326429,0.889326429,0.889326429,0.889326429,0.889326429,0.889326429
7130,0,0,0,0,0,0,0,0,0,0,0,0.770904372,0.770904372,0.770904372,0.770904372,0.770904372,0.770904372,0.770904372,0.770904372,0.770904372,0.770904372
7131,0,0,0,0,0,0,0,0,0,0,0,0.722142348,0.722142348,0.722142348,0.722142348,0.722142348,0.722142348,0.722142348,0.722142348,0.722142348,0.722142348
7132,0,0,0,0,0,0,0,0,0,0,0,0.506196244,0.506196244,0.506196244,0.506196244,0.506196244,0.506196244,0.506196244,0.506196244,0.506196244,0.506196244
7133,0,0,0,0,0,0,0,0,0,0,0,0.350622169,0.350622169,0.350622169,0.350622169,0.350622169,0.350622169,0.350622169,0.350622169,0.350622169,0.350622169
7134,0.043441248,0.043441248,0.043441248,0.043441248,0.043441248,0.043441248,0.043441248,0.043441248,0.043441248,0,0,0.246132119,0.246132119,0.246132119,0.246132119,0.246132119,0.246132119,0.246132119,0.246132119,0.246132119,0.246132119
