Year,State,Generation Region,Price,value,source,unit of Price,unit of value
2004,NJ,RFC,7.17,6.914175506,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2005,NJ,RFC,9.88,9.527483124,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2006,NJ,RFC,8.06,7.772420444,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2007,NJ,RFC,8.17,7.878495661,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2008,NJ,RFC,10.78,10.39537126,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2009,NJ,RFC,5.31,5.120540019,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2010,NJ,RFC,5.66,5.458052073,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2011,NJ,RFC,5.24,5.053037608,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2012,NJ,RFC,3.63,3.50048216,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2013,NJ,RFC,4.34,4.18514947,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2014,NJ,RFC,4.86,4.68659595,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2015,NJ,RFC,2.98,2.87367406,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2016,NJ,RFC,2.2,2.121504339,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2017,NJ,RFC,2.83,2.729026037,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2018,NJ,RFC,3.18,3.066538091,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2019,NJ,RFC,2.91,2.806171649,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
1997,NM,WECC,2.64,2.545805207,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
1998,NM,WECC,2.22,2.140790743,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
1999,NM,WECC,2.31,2.227579556,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2000,NM,WECC,3.94,3.799421408,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2001,NM,WECC,4.22,4.069431051,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2002,NM,WECC,3.03,2.921890068,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2008,NM,WECC,8.18,7.888138862,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2013,NM,WECC,4.35,4.194792671,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2014,NM,WECC,4.93,4.754098361,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
