Process Type,activity,flow_source,flows,value,unit,direction,type,source,data location,comment
dry with precalciner,total,gasoline,gasoline,0.000,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry with precalciner,total,lpg,lpg,0.000,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry with precalciner,total,pet coke,pet coke,0.644,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry with precalciner,total,natural gas,natural gas,0.620,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry with precalciner,total,coal,coal,1.635,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry with precalciner,total,waste,waste,0.156,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry with precalciner,total,tire derived fuel,tire derived fuel,0.156,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry with precalciner,total,solvents,solvents,0.216,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry with precalciner,total,waste oil,waste oil,0.036,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry with precalciner,total,renewables,renewables,0.036,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry with precalciner,total,electricity,electricity,0.465,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry with precalciner,total,electricity,voc,6.62488E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry with precalciner,total,electricity,co,2.09921E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry with precalciner,total,electricity,nox,4.11206E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry with precalciner,total,electricity,pm10,7.38595E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry with precalciner,total,electricity,pm2.5,3.20019E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry with precalciner,total,electricity,sox,0.000101133,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry with precalciner,total,electricity,bc,2.62826E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry with precalciner,total,electricity,oc,6.20405E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry with precalciner,total,electricity,ch4,0.000116236,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry with precalciner,total,electricity,n2o,9.18363E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry with precalciner,total,electricity,co2,0.058603565,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
