Coal Type,Region,Generator Type,Count Emissions from Building Powerplant,mix,efficiency,flows,value,unit,direction,type,source,data location
Bituminous,FRCC,Boiler (~99% of US coal turbines),Yes,,34.80%,sox,1.67E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler (~99% of US coal turbines),Yes,,34.80%,bc,5.64E-06,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler (~99% of US coal turbines),Yes,,34.80%,oc,1.06E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler (~99% of US coal turbines),Yes,,34.80%,ch4,1.13E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler (~99% of US coal turbines),Yes,,34.80%,n2o,1.60E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler (~99% of US coal turbines),Yes,,34.80%,co2,8.08E-01,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,HICC,Boiler (~99% of US coal turbines),No,,22.50%,voc,2.40E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = HICC
Bituminous,HICC,Boiler (~99% of US coal turbines),No,,22.50%,co,2.04E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = HICC
Bituminous,HICC,Boiler (~99% of US coal turbines),No,,22.50%,nox,2.85E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = HICC
Bituminous,HICC,Boiler (~99% of US coal turbines),No,,22.50%,pm10,1.18E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = HICC
Bituminous,HICC,Boiler (~99% of US coal turbines),No,,22.50%,pm2.5,1.18E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = HICC
Bituminous,HICC,Boiler (~99% of US coal turbines),No,,22.50%,sox,8.96E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = HICC
Bituminous,HICC,Boiler (~99% of US coal turbines),No,,22.50%,bc,5.07E-06,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = HICC
Bituminous,HICC,Boiler (~99% of US coal turbines),No,,22.50%,oc,9.56E-06,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = HICC
Bituminous,HICC,Boiler (~99% of US coal turbines),No,,22.50%,ch4,1.60E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = HICC
Bituminous,HICC,Boiler (~99% of US coal turbines),No,,22.50%,n2o,2.40E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = HICC
Bituminous,HICC,Boiler (~99% of US coal turbines),No,,22.50%,co2,1.25E+00,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = HICC
Bituminous,HICC,Boiler (~99% of US coal turbines),Yes,,22.50%,voc,2.48E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = HICC
Bituminous,HICC,Boiler (~99% of US coal turbines),Yes,,22.50%,co,2.09E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = HICC
Bituminous,HICC,Boiler (~99% of US coal turbines),Yes,,22.50%,nox,2.85E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = HICC
Bituminous,HICC,Boiler (~99% of US coal turbines),Yes,,22.50%,pm10,1.19E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = HICC
Bituminous,HICC,Boiler (~99% of US coal turbines),Yes,,22.50%,pm2.5,1.18E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = HICC
Bituminous,HICC,Boiler (~99% of US coal turbines),Yes,,22.50%,sox,8.97E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = HICC
Bituminous,HICC,Boiler (~99% of US coal turbines),Yes,,22.50%,bc,5.08E-06,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = HICC
Bituminous,HICC,Boiler (~99% of US coal turbines),Yes,,22.50%,oc,9.57E-06,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = HICC
Bituminous,HICC,Boiler (~99% of US coal turbines),Yes,,22.50%,ch4,1.73E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = HICC
Bituminous,HICC,Boiler (~99% of US coal turbines),Yes,,22.50%,n2o,2.40E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = HICC
Bituminous,HICC,Boiler (~99% of US coal turbines),Yes,,22.50%,co2,1.25E+00,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = HICC
Bituminous,MRO,Boiler (~99% of US coal turbines),No,,34.40%,voc,1.90E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = MRO
Bituminous,MRO,Boiler (~99% of US coal turbines),No,,34.40%,co,1.56E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = MRO
Bituminous,MRO,Boiler (~99% of US coal turbines),No,,34.40%,nox,1.39E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = MRO
Bituminous,MRO,Boiler (~99% of US coal turbines),No,,34.40%,pm10,1.39E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = MRO
Bituminous,MRO,Boiler (~99% of US coal turbines),No,,34.40%,pm2.5,1.10E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = MRO
