feed,Generation Region,flows,value,unit,direction,type,source,data location
Hydro,WECC,co,3.15E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for WECC Hydro when Inputs tab E710 = WECC
Hydro,WECC,nox,3.00E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for WECC Hydro when Inputs tab E710 = WECC
Hydro,WECC,pm10,1.14E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for WECC Hydro when Inputs tab E710 = WECC
Hydro,WECC,pm2.5,4.38E-07,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for WECC Hydro when Inputs tab E710 = WECC
Hydro,WECC,sox,1.40E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for WECC Hydro when Inputs tab E710 = WECC
Hydro,WECC,bc,2.13E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for WECC Hydro when Inputs tab E710 = WECC
Hydro,WECC,oc,4.81E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for WECC Hydro when Inputs tab E710 = WECC
Hydro,WECC,ch4,1.73E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for WECC Hydro when Inputs tab E710 = WECC
Hydro,WECC,n2o,1.95E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for WECC Hydro when Inputs tab E710 = WECC
Hydro,WECC,co2,0.002079071,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for WECC Hydro when Inputs tab E710 = WECC
