census_region,year,value,units
PA,2040,4.79682,$/MMBtu
PA,2041,4.783803,$/MMBtu
PA,2042,4.843728,$/MMBtu
PA,2043,4.912268,$/MMBtu
PA,2044,5.042649,$/MMBtu
PA,2045,5.151084,$/MMBtu
PA,2046,5.25091,$/MMBtu
PA,2047,5.363306,$/MMBtu
PA,2048,5.554729,$/MMBtu
PA,2049,5.672034,$/MMBtu
PA,2050,5.776817,$/MMBtu
