Feedstock Source,Production Type,Plant Type,Hydrogen Phase,Co-produce Steam,Basis of H2 Production Assumptions,activity,flow_source,flows,flow_breakdown,value,unit,direction,type,Source,comment,data location
Coal,From Coal,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,electricity,n2o,,2.02E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,electricity,n2o,,2.02E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Coal Gasification,electricity,n2o,,9.66E-09,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,electricity,n2o,,2.02E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,Coal Gasification,total,n2o,,7.27E-09,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,Coal Gasification: Non-Combustion Emissions,total,n2o,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,total,n2o,,2.02E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,Coal Gasification,total,n2o,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,Coal Gasification: Non-Combustion Emissions,total,n2o,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,total,n2o,,2.02E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Coal Gasification,total,n2o,,9.66E-09,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Coal Gasification: Non-Combustion Emissions,total,n2o,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Production of Displaced Steam,total,n2o,,-5.84E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,total,n2o,,2.02E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,Coal Gasification,electricity,nox,,3.25E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,electricity,nox,,9.04E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,electricity,nox,,9.04E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Coal Gasification,electricity,nox,,4.33E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,electricity,nox,,9.04E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,Coal Gasification,total,nox,,3.25E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,Coal Gasification: Non-Combustion Emissions,total,nox,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,total,nox,,9.04E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,Coal Gasification,total,nox,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,Coal Gasification: Non-Combustion Emissions,total,nox,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,total,nox,,9.04E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Coal Gasification,total,nox,,4.33E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Coal Gasification: Non-Combustion Emissions,total,nox,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Production of Displaced Steam,total,nox,,-8.81E-05,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,total,nox,,9.04E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,Coal Gasification,electricity,oc,,4.91E-09,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,electricity,oc,,1.36E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,electricity,oc,,1.36E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Coal Gasification,electricity,oc,,6.53E-09,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,electricity,oc,,1.36E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,Coal Gasification,total,oc,,4.91E-09,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,Coal Gasification: Non-Combustion Emissions,total,oc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,total,oc,,1.36E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,Coal Gasification,total,oc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,Coal Gasification: Non-Combustion Emissions,total,oc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,total,oc,,1.36E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Coal Gasification,total,oc,,6.53E-09,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Coal Gasification: Non-Combustion Emissions,total,oc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Production of Displaced Steam,total,oc,,-2.90E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,total,oc,,1.36E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,Coal Gasification,electricity,pm10,,5.85E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,electricity,pm10,,1.62E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,electricity,pm10,,1.62E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
