Feedstock Source,Production Type,Compute Cost,Plant Type,Hydrogen Phase,Co-produce Steam,Basis of H2 Production Assumptions,activity,flow_source,flows,flow_breakdown,value,unit,direction,type,Source,comment,data location
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification,total,co2,biogenic,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification: Non-Combustion Emissions,total,co2,biogenic,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Production of Displaced Steam,total,co2,biogenic,0.048652081,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,total,co2,biogenic,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification,total,co2,non-biogenic,0.003169659,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification: Non-Combustion Emissions,total,co2,non-biogenic,0,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Biomass,-,No,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,total,co2,non-biogenic,0.01289007,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification,total,co2,non-biogenic,0.00691362,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification: Non-Combustion Emissions,total,co2,non-biogenic,0,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,total,co2,non-biogenic,0.01289031,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification,total,co2,non-biogenic,0.004118433,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification: Non-Combustion Emissions,total,co2,non-biogenic,0,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Production of Displaced Steam,total,co2,non-biogenic,-0.050368573,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,total,co2,non-biogenic,0.012890043,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification,,electricity,,0.016596491,MJ/MJ,input,energy,GREET,,Hydrogen tab Row 218
Biomass,-,No,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,,electricity,,0.102186489,MJ/MJ,input,energy,GREET,,Hydrogen tab Row 218
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification,,electricity,,0.02934824,MJ/MJ,input,energy,GREET,,Hydrogen tab Row 218
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,,electricity,,0.102186489,MJ/MJ,input,energy,GREET,,Hydrogen tab Row 218
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification,,electricity,,0.021564356,MJ/MJ,input,energy,GREET,,Hydrogen tab Row 218
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,,electricity,,0.102186489,MJ/MJ,input,energy,GREET,,Hydrogen tab Row 218
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification,total,Misc. Items,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification: Non-Combustion Emissions,total,Misc. Items,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,total,Misc. Items,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification,total,Misc. Items,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification: Non-Combustion Emissions,total,Misc. Items,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,total,Misc. Items,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification,total,Misc. Items,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification: Non-Combustion Emissions,total,Misc. Items,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Production of Displaced Steam,total,Misc. Items,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,total,Misc. Items,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification,electricity,n2o,,3.28E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,electricity,n2o,,2.02E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification,electricity,n2o,,5.80E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,electricity,n2o,,2.02E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification,electricity,n2o,,4.26E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,electricity,n2o,,2.02E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Production,steam,n2o,,-4.53E-07,kg/MJ,output,mass,GREET,,Hydrogen tab Row 197
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification,total,n2o,,6.84E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification: Non-Combustion Emissions,total,n2o,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,total,n2o,,2.02E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification,total,n2o,,1.64E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification: Non-Combustion Emissions,total,n2o,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,total,n2o,,2.02E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification,total,n2o,,8.89E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification: Non-Combustion Emissions,total,n2o,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Production of Displaced Steam,total,n2o,,-6.39E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,total,n2o,,2.02E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification,,natural gas: process fuel,,0.017350877,MJ/MJ,input,energy,GREET,"in this table, biomass  = corn stover",Hydrogen tab Row 212
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification,,natural gas: process fuel,,0.051779512,MJ/MJ,input,energy,GREET,"in this table, biomass  = corn stover",Hydrogen tab Row 212
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification,,natural gas: process fuel,,0.022544554,MJ/MJ,input,energy,GREET,"in this table, biomass  = corn stover",Hydrogen tab Row 212
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification,electricity,nox,,1.47E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,electricity,nox,,9.04E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification,electricity,nox,,2.60E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,electricity,nox,,9.04E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification,electricity,nox,,1.91E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,electricity,nox,,9.04E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Production,steam,nox,,-2.59E-05,kg/MJ,output,mass,GREET,,Hydrogen tab Row 197
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification,total,nox,,2.73E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification: Non-Combustion Emissions,total,nox,,2.84E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,total,nox,,9.04E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification,total,nox,,6.35E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification: Non-Combustion Emissions,total,nox,,2.84E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,total,nox,,9.04E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification,total,nox,,3.54E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification: Non-Combustion Emissions,total,nox,,2.84E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Production of Displaced Steam,total,nox,,-3.48E-05,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,total,nox,,9.04E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification,electricity,oc,,2.22E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,electricity,oc,,1.36E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification,electricity,oc,,3.92E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,electricity,oc,,1.36E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification,electricity,oc,,2.88E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,electricity,oc,,1.36E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Production,steam,oc,,-7.54E-07,kg/MJ,output,mass,GREET,,Hydrogen tab Row 197
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification,total,oc,,4.93E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification: Non-Combustion Emissions,total,oc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,total,oc,,1.36E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification,total,oc,,1.20E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
