State,Source,Comments,value,unit
NC,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
ND,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
OH,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
OK,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
OR,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
PA,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
RI,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
SC,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
SD,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
TN,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
TX,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
UT,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
VT,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
VA,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
WA,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
WV,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
WI,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
WY,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
