data label (bold = stored in excel),year,pop_VIS19,popD_VIS19,d_p_VIS19,S_d_VIS19,S_VIS19,f_ICEG_sedan_VIS19,f_ICED_sedan_VIS19,f_HEV_sedan_VIS19,f_PHEV_sedan_VIS19,f_BEV_sedan_VIS19,f_FCEV_sedan_VIS19,f_ICEG_LT_VIS19,f_ICED_LT_VIS19,f_HEV_LT_VIS19,f_PHEV_LT_VIS19,f_BEV_LT_VIS19,f_FCEV_LT_VIS19,F_sedan_VIS19,F_LT_VIS19,g_p_VIS19,d_TEDB20,d_a_TEDB20,d_Default,d_a_Default
49,2018,328364960,263053070,0.801099697,0.062615527,16471206.67,0.898700063,0.000967217,0.059977716,0.016475912,0.023548734,0.000330358,0.941421387,0.045869384,0.006201915,0.004858876,0.001335726,0.000312712,0.503622692,0.496377308,49269.16114,24456.59,0.0204,14285.6,0.0204
50,2019,330703400,265283722,0.802180207,0.062067165,16465408.63,0.865162548,0.002894685,0.060478233,0.017746338,0.053092466,0.00062573,0.928348276,0.05409311,0.006411942,0.006450902,0.004093813,0.000601957,0.499665775,0.500334225,50359.50549,,,14285.6,0.0204
51,2020,333052032,267537476,0.803290328,0.06117447,16366463.38,0.847565966,0.004852181,0.060562306,0.019004137,0.066961436,0.001053975,0.916367591,0.0613685,0.007057396,0.007972929,0.00619491,0.001038674,0.501456016,0.498543984,51076.92524,,,14285.6,0.0204
52,2021,335389435,269770050,0.804348682,0.060355142,16282009.77,0.833228144,0.00549457,0.060578978,0.020130806,0.078690105,0.001877396,0.907748685,0.06240467,0.007275636,0.011001079,0.009710554,0.001859375,0.500768468,0.499231532,51557.82297,,,14285.6,0.0204
53,2022,337711823,272000885,0.805423046,0.058501554,15912474.43,0.823773004,0.006459882,0.061690514,0.020505951,0.08479726,0.002773388,0.899354805,0.063795876,0.007606874,0.012828622,0.013633409,0.002780414,0.50300411,0.49699589,52048.56008,,,14285.6,0.0204
54,2023,340012909,274245270,0.806573112,0.058234498,15970535.64,0.815521238,0.007581026,0.063552035,0.02040497,0.090096392,0.002844339,0.896129279,0.06503162,0.008083433,0.0136461,0.014195656,0.002913912,0.508440822,0.491559178,52537.61878,,,14285.6,0.0204
55,2024,342289398,276428864,0.807588157,0.057894014,16003576.66,0.805959073,0.008734236,0.065863852,0.020766819,0.09552474,0.003151281,0.892238671,0.065388342,0.008644905,0.014477911,0.015943025,0.003307144,0.514522007,0.485477993,53093.7037,,,14285.6,0.0204
56,2025,344539612,278482635,0.808274652,0.057462473,16002300.84,0.799248205,0.010366324,0.066470618,0.021004056,0.099521396,0.003389402,0.888537775,0.065804451,0.008845276,0.015664861,0.017507341,0.003640296,0.520430227,0.479569773,53724.79729,,,14285.6,0.0204
57,2026,346764648,280517090,0.808955272,0.05719303,16043622.32,0.795259992,0.012348751,0.068932979,0.021245224,0.098876309,0.003336745,0.888301628,0.065371236,0.009409162,0.015708905,0.017593479,0.00361559,0.523045286,0.476954714,54386.33588,,,14285.6,0.0204
58,2027,348957245,282518768,0.809608547,0.056764755,16037108.7,0.789820603,0.014441041,0.071298238,0.021673968,0.099511496,0.003254655,0.887481636,0.064870978,0.009964163,0.016028409,0.018000985,0.003653829,0.532376164,0.467623836,55094.52871,,,14285.6,0.0204
59,2028,351113129,284451996,0.810143434,0.056591576,16097586.67,0.783903506,0.017107722,0.073315705,0.022099946,0.100550264,0.003022858,0.887940709,0.064434927,0.01047584,0.016028514,0.017632281,0.00348773,0.540057115,0.459942885,55860.41885,,,14285.6,0.0204
60,2029,353227936,286349670,0.810665411,0.05633139,16130475.04,0.776173145,0.018640083,0.075324615,0.023201614,0.103674624,0.002985918,0.885998224,0.06453419,0.011023825,0.016556815,0.018327289,0.003559657,0.54873568,0.45126432,56597.54527,,,14285.6,0.0204
