Seqno,state,plant_name,orispl,unit,prime_mover,fuel,online_year,egrid_year,gen,number_of_boiler,genstatus,gen_prime_mover,gen_fuel,capacity_mw,match_score,plant_id
179,AK,Fire Island Wind,58425,WT1,WT,WND,,2018,WT1,0,OP,WT,WND,18,1,41
180,AK,Flywheel Energy Storage System Microgrid,60563,FESS,FW,MWH,,2018,FESS,0,OP,FW,MWH,2,1,42
181,AK,Fort Greely Power Plant,54834,EN-1,IC,DFO,,2018,EN-1,0,RE,IC,DFO,1,1,43
182,AK,Fort Greely Power Plant,54834,EN-2,IC,DFO,,2018,EN-2,0,RE,IC,DFO,1,1,43
183,AK,Fort Greely Power Plant,54834,EN-3,IC,DFO,,2018,EN-3,0,RE,IC,DFO,1,1,43
184,AK,Fort Greely Power Plant,54834,EN-4,IC,DFO,,2018,EN-4,0,SB,IC,DFO,1.2,1,43
185,AK,Fort Greely Power Plant,54834,EN-5,IC,DFO,,2018,EN-5,0,SB,IC,DFO,1.2,1,43
186,AK,Fort Greely Power Plant,54834,EN-6,IC,DFO,,2018,EN-6,0,SB,IC,DFO,2.5,1,43
187,AK,Fort Greely Power Plant,54834,EN-7,IC,DFO,,2018,EN-7,0,SB,IC,DFO,2.5,1,43
,CT,,50498,GT,CT,NG,,,GTG,,,CT,NG,,0.888888889,2311
188,AK,Galena Electric Utility,7437,1A,IC,DFO,,2018,1A,0,OP,IC,DFO,0.8,1,44
189,AK,Galena Electric Utility,7437,2,IC,DFO,,2018,2,0,RE,IC,DFO,0.8,1,44
190,AK,Galena Electric Utility,7437,2A,IC,DFO,,2018,2A,0,OP,IC,DFO,0.5,1,44
191,AK,Galena Electric Utility,7437,3,IC,DFO,,2018,3,0,RE,IC,DFO,0.8,1,44
192,AK,Galena Electric Utility,7437,3A,IC,DFO,,2018,3A,0,OP,IC,DFO,0.8,1,44
193,AK,Galena Electric Utility,7437,4,IC,DFO,,2018,4,0,RE,IC,DFO,0.8,1,44
194,AK,Galena Electric Utility,7437,4A,IC,DFO,,2018,4A,0,OP,IC,DFO,1,1,44
195,AK,Galena Electric Utility,7437,5,IC,DFO,,2018,5,0,RE,IC,DFO,0.8,1,44
196,AK,Galena Electric Utility,7437,5A,IC,DFO,,2018,5A,0,OP,IC,DFO,0.8,1,44
197,AK,Galena Electric Utility,7437,6,IC,DFO,,2018,6,0,RE,IC,DFO,0.5,1,44
198,AK,Galena Electric Utility,7437,6A,IC,DFO,,2018,6A,0,RE,IC,DFO,0.4,1,44
199,AK,Gambell,57062,1A,IC,DFO,,2018,1A,0,OP,IC,DFO,0.3,1,45
200,AK,Gambell,57062,UNIT1,IC,DFO,,2018,UNIT1,0,RE,IC,DFO,0.3,1,45
201,AK,Gambell,57062,UNIT2,IC,DFO,,2018,UNIT2,0,OP,IC,DFO,0.5,1,45
202,AK,Gambell,57062,UNIT3,IC,DFO,,2018,UNIT3,0,OP,IC,DFO,0.8,1,45
211,AK,Glennallen,6305,1,IC,DFO,,2018,1,0,RE,IC,DFO,0.3,1,47
212,AK,Glennallen,6305,2,IC,DFO,,2018,2,0,RE,IC,DFO,0.3,1,47
213,AK,Glennallen,6305,3,IC,DFO,,2018,3,0,SB,IC,DFO,0.5,1,47
214,AK,Glennallen,6305,4,IC,DFO,,2018,4,0,SB,IC,DFO,0.5,1,47
215,AK,Glennallen,6305,5,IC,DFO,,2018,5,0,SB,IC,DFO,0.5,1,47
216,AK,Glennallen,6305,6,IC,DFO,,2018,6,0,OP,IC,DFO,2.6,1,47
217,AK,Glennallen,6305,7,IC,DFO,,2018,7,0,OP,IC,DFO,2.6,1,47
218,AK,Glennallen,6305,8,IC,DFO,,2018,8,0,OP,IC,DFO,1.2,1,47
219,AK,Glennallen,6305,9,IC,DFO,,2018,9,0,OP,IC,DFO,2.8,1,47
220,AK,Goat Lake Hydro,7751,1,HY,WAT,,2018,1,0,OP,HY,WAT,4,1,48
221,AK,Gold Creek,63,1,HY,WAT,,2018,1,0,OP,HY,WAT,0.8,1,49
222,AK,Gold Creek,63,2,HY,WAT,,2018,2,0,OP,HY,WAT,0.4,1,49
223,AK,Gold Creek,63,3,HY,WAT,,2018,3,0,OP,HY,WAT,0.4,1,49
224,AK,Gold Creek,63,IC1,IC,DFO,,2018,IC1,0,SB,IC,DFO,1.2,1,49
225,AK,Gold Creek,63,IC2,IC,DFO,,2018,IC2,0,SB,IC,DFO,1.2,1,49
226,AK,Gold Creek,63,IC3,IC,DFO,,2018,IC3,0,SB,IC,DFO,1.1,1,49
227,AK,Gold Creek,63,IC4,IC,DFO,,2018,IC4,0,SB,IC,DFO,3.5,1,49
228,AK,Gold Creek,63,IC5,IC,DFO,,2018,IC5,0,SB,IC,DFO,1.1,1,49
229,AK,Green Lake,313,1,HY,WAT,,2018,1,0,OP,HY,WAT,9.3,1,50
230,AK,Green Lake,313,2,HY,WAT,,2018,2,0,OP,HY,WAT,9.3,1,50
231,AK,Gwitchyaa Zhee,7174,1,IC,DFO,,2018,1,0,RE,IC,DFO,0.6,1,51
232,AK,Gwitchyaa Zhee,7174,10,IC,DFO,,2018,10,0,OP,IC,DFO,0.4,1,51
233,AK,Gwitchyaa Zhee,7174,2A,IC,DFO,,2018,2A,0,RE,IC,DFO,0.5,1,51
234,AK,Gwitchyaa Zhee,7174,3,IC,DFO,,2018,3,0,RE,IC,DFO,0.6,1,51
235,AK,Gwitchyaa Zhee,7174,4A,IC,DFO,,2018,4A,0,RE,IC,DFO,0.5,1,51
236,AK,Gwitchyaa Zhee,7174,5,IC,DFO,,2018,5,0,RE,IC,DFO,0.5,1,51
237,AK,Gwitchyaa Zhee,7174,6,IC,DFO,,2018,6,0,RE,IC,DFO,0.5,1,51
238,AK,Gwitchyaa Zhee,7174,7,IC,DFO,,2018,7,0,OP,IC,DFO,1,1,51
239,AK,Gwitchyaa Zhee,7174,8,IC,DFO,,2018,8,0,OP,IC,DFO,1,1,51
240,AK,Gwitchyaa Zhee,7174,9,IC,DFO,,2018,9,0,OP,IC,DFO,0.4,1,51
241,AK,Haines,69,10,IC,DFO,,2018,10,0,OP,IC,DFO,1.2,1,52
242,AK,Haines,69,11,IC,DFO,,2018,11,0,OP,IC,DFO,1.9,1,52
