Balancing Authority,Date,Averaged Demand (MwH)
CISO,03/25/2020 8:00:00 PM 20,25126
CISO,03/25/2020 9:00:00 PM 21,25013
CISO,03/25/2020 10:00:00 PM 22,24075
CISO,03/25/2020 11:00:00 PM 23,22612
CISO,03/26/2020 12:00:00 AM 24,21491
CISO,03/26/2020 1:00:00 AM 1,20517
CISO,03/26/2020 2:00:00 AM 2,19771
CISO,03/26/2020 3:00:00 AM 3,19383
CISO,03/26/2020 4:00:00 AM 4,19227
CISO,03/26/2020 5:00:00 AM 5,19773
CISO,03/26/2020 6:00:00 AM 6,20890
CISO,03/26/2020 7:00:00 AM 7,22353
CISO,03/26/2020 8:00:00 AM 8,23036
CISO,03/26/2020 9:00:00 AM 9,22246
CISO,03/26/2020 10:00:00 AM 10,21288
CISO,03/26/2020 11:00:00 AM 11,20256
CISO,03/26/2020 12:00:00 PM 12,19525
CISO,03/26/2020 1:00:00 PM 13,19227
CISO,03/26/2020 2:00:00 PM 14,19043
CISO,03/26/2020 3:00:00 PM 15,18926
CISO,03/26/2020 4:00:00 PM 16,18866
CISO,03/26/2020 5:00:00 PM 17,19779
CISO,03/26/2020 6:00:00 PM 18,21317
CISO,03/26/2020 7:00:00 PM 19,23385
CISO,03/26/2020 8:00:00 PM 20,25110
CISO,03/26/2020 9:00:00 PM 21,25207
CISO,03/26/2020 10:00:00 PM 22,24379
CISO,03/26/2020 11:00:00 PM 23,22995
CISO,03/27/2020 12:00:00 AM 24,21576
CISO,03/27/2020 1:00:00 AM 1,20885
CISO,03/27/2020 2:00:00 AM 2,20165
CISO,03/27/2020 3:00:00 AM 3,19719
CISO,03/27/2020 4:00:00 AM 4,19684
CISO,03/27/2020 5:00:00 AM 5,20036
CISO,03/27/2020 6:00:00 AM 6,20998
CISO,03/27/2020 7:00:00 AM 7,22673
CISO,03/27/2020 8:00:00 AM 8,23176
CISO,03/27/2020 9:00:00 AM 9,22198
CISO,03/27/2020 10:00:00 AM 10,21097
CISO,03/27/2020 11:00:00 AM 11,20284
CISO,03/27/2020 12:00:00 PM 12,19483
CISO,03/27/2020 1:00:00 PM 13,18923
CISO,03/27/2020 2:00:00 PM 14,18380
CISO,03/27/2020 3:00:00 PM 15,18157
CISO,03/27/2020 4:00:00 PM 16,18269
CISO,03/27/2020 5:00:00 PM 17,19184
CISO,03/27/2020 6:00:00 PM 18,20702
CISO,03/27/2020 7:00:00 PM 19,22645
CISO,03/27/2020 8:00:00 PM 20,24494
CISO,03/27/2020 9:00:00 PM 21,24562
CISO,03/27/2020 10:00:00 PM 22,23731
CISO,03/27/2020 11:00:00 PM 23,22512
CISO,03/28/2020 12:00:00 AM 24,21254
CISO,03/28/2020 1:00:00 AM 1,20485
CISO,03/28/2020 2:00:00 AM 2,19697
CISO,03/28/2020 3:00:00 AM 3,19250
CISO,03/28/2020 4:00:00 AM 4,19035
CISO,03/28/2020 5:00:00 AM 5,19179
CISO,03/28/2020 6:00:00 AM 6,19317
CISO,03/28/2020 7:00:00 AM 7,20136
CISO,03/28/2020 8:00:00 AM 8,20146
CISO,03/28/2020 9:00:00 AM 9,19771
CISO,03/28/2020 10:00:00 AM 10,19431
CISO,03/28/2020 11:00:00 AM 11,19079
CISO,03/28/2020 12:00:00 PM 12,18500
CISO,03/28/2020 1:00:00 PM 13,18244
CISO,03/28/2020 2:00:00 PM 14,18159
CISO,03/28/2020 3:00:00 PM 15,18266
CISO,03/28/2020 4:00:00 PM 16,18510
CISO,03/28/2020 5:00:00 PM 17,18937
CISO,03/28/2020 6:00:00 PM 18,20394
CISO,03/28/2020 7:00:00 PM 19,22206
CISO,03/28/2020 8:00:00 PM 20,23735
CISO,03/28/2020 9:00:00 PM 21,23574
CISO,03/28/2020 10:00:00 PM 22,22718
CISO,03/28/2020 11:00:00 PM 23,21610
CISO,03/29/2020 12:00:00 AM 24,20327
CISO,03/29/2020 1:00:00 AM 1,19485
CISO,03/29/2020 2:00:00 AM 2,18941
CISO,03/29/2020 3:00:00 AM 3,18355
CISO,03/29/2020 4:00:00 AM 4,18205
CISO,03/29/2020 5:00:00 AM 5,18266
CISO,03/29/2020 6:00:00 AM 6,18304
CISO,03/29/2020 7:00:00 AM 7,18810
CISO,03/29/2020 8:00:00 AM 8,18645
CISO,03/29/2020 9:00:00 AM 9,18333
CISO,03/29/2020 10:00:00 AM 10,17730
CISO,03/29/2020 11:00:00 AM 11,17098
CISO,03/29/2020 12:00:00 PM 12,16866
