state,electricity,unit,source,gas,unit,source,region,transport,unit,source,basin,storage,unit,source,
North Dakota,0.021222222,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.001943017,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,central,0.04,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,South Central ,8,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,ND
Ohio,0.016083333,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.00548784,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,eastern,0.05,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,Midwest/Gulf Coast,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,OH
Oklahoma,0.013,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.002615965,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,central,0.04,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,South Central ,8,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,OK
Oregon,0.017722222,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.004862283,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,western,0.06,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,California ,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,OR
Pennsylvania,0.016916667,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.008151195,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,eastern,0.05,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,Midwest/Gulf Coast,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,PA
Rhode Island,0.045055556,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.009535003,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,eastern,0.05,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,Midwest/Gulf Coast,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,RI
South Carolina,0.016972222,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.003923947,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,eastern,0.05,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,Midwest/Gulf Coast,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,SC
South Dakota,0.022361111,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.005364624,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,central,0.04,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,South Central ,8,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,SD
Tennessee,0.015,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.003450041,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,eastern,0.05,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,Midwest/Gulf Coast,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,TN
Texas,0.015472222,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.002473793,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,central,0.04,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,South Central ,8,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,TX
Utah,0.017722222,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.004644286,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,western,0.06,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,California ,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,UT
Vermont,0.030722222,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.003734385,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,eastern,0.05,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,Midwest/Gulf Coast,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,VT
Virginia,0.017861111,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.00370595,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,eastern,0.05,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,Midwest/Gulf Coast,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,VA
Washington,0.014666667,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.007203382,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,western,0.06,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,California ,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,WA
West Virginia,0.015583333,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.002047277,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,eastern,0.05,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,Midwest/Gulf Coast,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,WV
Wisconsin,0.02325,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.003582735,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,central,0.04,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,South Central ,8,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,WI
Wyoming,0.019944444,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.004085076,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,rockies,0.075,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,North Central ,11,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,WY
Hawaii,0.064138889,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.019221656,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,,0,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,,,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,HI
