Count Emissions from Building Extraction Infrastructure,method,activity,flow_source,flows,value,unit,direction,type,source,comment,data location
Yes,Surface,Coal Mining: Non-Combustion,total,pm2.5,1.41E-06,kg/MJ,output,mass,GREET,Coal mining shares shuold be asked from the user and based on that calculate the total pm2.5 emissions,"See ""co2"" flow"
No,,Coal Mining and Cleaning,Residual oil,Residual oil,0.000493454,MJ/MJ,input,energy,GREET,,Coal tab Row 34
Yes,,Coal Mining and Cleaning,Residual oil,Residual oil,0.000493454,MJ/MJ,input,energy,GREET,,Coal tab Row 34
No,,Coal Cleaning: Non-Combustion ,total,sox,5.33E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Yes,,Coal Cleaning: Non-Combustion ,total,sox,5.24E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
No,,Coal Mining and Cleaning,electricity,sox,3.68E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Yes,,Coal Mining and Cleaning,electricity,sox,3.68E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
No,,Coal Mining and Cleaning,total,sox,1.06E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Yes,,Coal Mining and Cleaning,total,sox,1.15E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
No,,Coal Mining: Non-Combustion ,total,sox,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Yes,,Coal Mining: Non-Combustion ,total,sox,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
No,,Coal Cleaning: Non-Combustion ,total,voc,6.45E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Yes,,Coal Cleaning: Non-Combustion ,total,voc,6.42E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
No,,Coal Mining and Cleaning,electricity,voc,2.41E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Yes,,Coal Mining and Cleaning,electricity,voc,2.41E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
No,,Coal Mining and Cleaning,total,voc,1.97E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Yes,,Coal Mining and Cleaning,total,voc,2.27E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
No,,Coal Mining: Non-Combustion ,total,voc,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Yes,,Coal Mining: Non-Combustion ,total,voc,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
